name,hex
grün,#5dd558
blau,#2575ed
lila,#a943d5
rot,#ee2c37
braun,#8e5e38
pink,#f530b0
violett,#9748bd
türkis,#34e8cf
hellgrün,#7bed68
dunkelgrün,#2b6835
orange,#f88a1a
dunkelblau,#203bb6
rosa,#ee70b4
hellblau,#3fc7f5
gelb,#f5e528
schwarz,#24221e
beige,#dbc897
grau,#8e9194
neongrün,#65f54f
ocker,#cfa33a
grasgrün,#69c647
magenta,#eb2daf
rotbraun,#963935
dunkelbraun,#512e20
flieder,#b779c8
hellbraun,#bd8b5a
gelbgrün,#c2e73d
dunkellila,#5e2e7e
dunkelrot,#8f2031
himmelblau,#33b1f7
olivgrün,#7d973d
petrol,#317f83
graugrün,#77977a
altrosa,#bc7696
dunkelviolett,#522b68
weinrot,#a13156
königsblau,#243bdd
giftgrün,#70f743
blassgrün,#7fd486
purpur,#aa3480
waldgrün,#3d733c
blaugrün,#32af8c
helllila,#b977e9
violet,#8232c6
blaugrau,#6f90b0
lavendel,#a57bca
graublau,#7e9ab5
hautfarben,#f6c7b2
graubraun,#816e61
