name,hex
green,#5bc256
purple,#9443c0
blue,#2778e0
pink,#ed5bac
brown,#885833
red,#e42833
orange,#f48425
magenta,#d930ac
teal,#3ec5b4
yellow,#efe433
grey,#919695
lime green,#82ee3e
light green,#84e574
dark green,#316632
turquoise,#38d3c6
light blue,#4ec2f0
violet,#9246c4
lavender,#b28cd7
black,#221f22
sky blue,#4abcf1
dark blue,#213baf
forest green,#356f37
maroon,#84273a
navy blue,#23387e
dark purple,#5e2b73
neon green,#5ef444
fuschia,#e132b4
hot pink,#f22d9f
tan,#cdab73
royal blue,#253dd9
light purple,#bb76d8
lilac,#b98eda
beige,#d4bc8f
cyan,#3ddde1
navy,#223577
mauve,#aa6991
indigo,#533cb9
lime,#92ee42
aqua,#3dddd2
peach,#f0a985
burgundy,#802539
olive,#84913e
yellow green,#b3e53b
bright green,#4fe94d
mint green,#6ceca1
olive green,#798d39
periwinkle,#8b92e1
mint,#76eca8
salmon,#e97d76
gold,#d9b330
dark pink,#d54083
mustard,#d7b631
light brown,#ae7f51
baby blue,#72c9f0
light pink,#eea7cc
plum,#78356b
burnt orange,#db6b25
blue green,#3ab696
seafoam green,#60e7a5
dark brown,#4e2d21
chartreuse,#b3e041
grass green,#5eba3f
rose,#e15f84
bright purple,#aa39e0
army green,#677a39
dark red,#9a222a
sea green,#53d599
coral,#ed7069
mustard yellow,#dcbc31
blue grey,#6f90a2
pale green,#a0e29a
bright blue,#1a91f1
royal purple,#6d2ca4
seafoam,#65e7ac
aquamarine,#3ad4c2
grey blue,#6a8da7
pastel green,#9ae59b
sage,#8fb382
brick red,#ad342f
neon purple,#b934e6
dark teal,#297174
khaki,#9f9b5a
bright pink,#f13db1
kelly green,#3bb249
neon pink,#f135c4
crimson,#c1263a
midnight blue,#232b6c
baby pink,#f0aece
cream,#ede5b2
taupe,#af977e
eggplant,#5f2c67
hunter green,#356639
dark orange,#e6671e
cerulean,#2688e6
rust,#b4502c
red orange,#f34e1e
dark yellow,#d7ba2c
spring green,#79e365
moss green,#6e9044
dark grey,#4c5153
sage green,#89b27a
grey green,#84a185
ocean blue,#267fce
deep purple,#5b2976
blue purple,#6649d2
sand,#d8c17f
light yellow,#eeee82
wine,#83274b
