name,hex
verde,#62cd5c
azul,#227ae4
morado,#923dbe
rosa,#ec58a5
violeta,#9a48c3
rojo,#ea232f
marrón,#865435
naranja,#f8831e
lila,#b672d7
gris,#8b9394
amarillo,#f4e62a
turquesa,#33daca
fucsia,#eb2bab
cafe,#8c5a3b
celeste,#40ccf0
magenta,#e430a9
verde oscuro,#30703d
azul marino,#1c3aa0
verde claro,#86e872
negro,#201f21
púrpura,#9436c5
azul oscuro,#1e3eb0
azul cielo,#4ebcf0
verde limón,#8fe63a
ocre,#d0a63e
mostaza,#deb134
beige,#d3c998
cian,#30e0ea
azul claro,#35acf4
verde agua,#5beba9
verde oliva,#7a903a
salmón,#ea806d
azul eléctrico,#223ee1
verde lima,#9eea3e
morado oscuro,#582972
marrón claro,#b58858
aguamarina,#37dfca
azul rey,#1a4de9
verde azulado,#4cc692
verde militar,#6d8243
lima,#94f44b
vino,#761d44
lila oscuro,#9867ba
rosado oscuro,#dd397f
verde pastel,#97ea96
piel,#e0b48a
marrón oscuro,#4e2b20
granate,#7d2232
morado claro,#af73d5
