name,hex
vert,#61d860
bleu,#2181eb
violet,#a340cc
rose,#f153ad
marron,#895935
rouge,#ec2632
mauve,#ae53ce
orange,#fa881f
turquoise,#32e6ce
jaune,#f3e62e
vert foncé,#356c3c
bleu marine,#1e44bb
vert clair,#80ed69
bleu ciel,#4bc6f7
brun,#825036
kaki,#7e893a
fushia,#ed2ab1
noir,#251f20
beige,#dfbe92
gris,#8b9297
vert fluo,#66f43f
magenta,#ed29a3
bordeaux,#992d3f
vert pomme,#86f043
bleu clair,#42c6f8
bleu foncé,#2147d0
cyan,#2dd9e9
violet foncé,#68318d
bleu roi,#294ee2
indigo,#5b56cd
pourpre,#983087
lavande,#aa8ddc
saumon,#e98b77
ocre,#dca54c
jaune moutarde,#e1ba30
bleu nuit,#1f3480
bleu gris,#648fad
vert d'eau,#5feaac
vert pale,#a4ed8d
prune,#733364
taupe,#a78879
vert forêt,#367a40
bleu turquoise,#21dde1
vert kaki,#868a3e
vert sapin,#37754a
