name,hex
보라색,#8f3cc0
연두색,#84e654
초록색,#41b24d
자주색,#b5318c
갈색,#8e502f
하늘색,#50cef2
연보라색,#b38bdd
파랑색,#1f61e4
분홍색,#ed68bb
청록색,#36a297
남색,#29348a
녹색,#4aa148
파란색,#2762df
주황색,#f47e26
황토색,#c59442
빨강색,#e82532
풀색,#73a743
민트색,#6fe9c2
검정색,#221f24
회색,#95999d
에메랄드색,#58e6ab
핑크색,#ee56ba
군청색,#313f9a
다홍색,#e93e50
진분홍색,#e1449c
빨간색,#e42633
노랑색,#f4e333
고동색,#6a422e
진보라색,#663182
살구색,#efb08d
형광연두색,#6ef658
진녹색,#336633
카키색,#757f41
연녹색,#94da77
핫핑크색,#ef31a4
올리브색,#869140
연분홍색,#eca5c6
노란색,#f2df2d
옥색,#5ae1ba
베이지색,#d8c59b
적갈색,#88342f
겨자색,#d3bc33
연갈색,#b48862
형광보라색,#ae36e9
마젠타색,#dc36a3
검은색,#202023
형광초록색,#43f15e
진초록색,#2f6235
밝은보라색,#ac41db
짙은녹색,#406b3c
청색,#2d5ac6
라임색,#aeee45
연초록색,#6fe180
자홍색,#d8387c
밝은연두색,#8bf260
살색,#edba9c
상아색,#c9d5ad
연파랑색,#4ca3ee
바다색,#2e89d6
형광녹색,#3aed6c
금색,#cab03d
쑥색,#5c7d4a
벽돌색,#a2433c
짙은보라색,#602d70
개나리색,#f8d036
진홍색,#dd3178
코발트블루색,#2955d0
청보라색,#5f3ece
형광하늘색,#44eaf1
짙은 초록색,#276939
남보라색,#5036a3
진청색,#154398
연노랑색,#eaf373
청녹색,#3a9691
황갈색,#b07a2c
청회색,#67879c
와인색,#872346
귤색,#f6a62e
형광색,#98f560
꽃분홍색,#ea44a2
진파랑색,#2242c8
곤색,#2e3a71
짙은분홍색,#e6408d
황록색,#abbb44
오렌지색,#f79126
짙은 하늘색,#32a6de
밝은 초록색,#52ef71
진한분홍색,#e63ca0
형광분홍색,#f136cf
밝은 녹색,#50e069
진한 보라색,#6c2f93
짙은 갈색,#5a2f22
국방색,#516835
밝은파랑색,#2895f7
감색,#856268
짙은 연두색,#6bab39
아이보리색,#d8d2c4
진달래색,#eb4dab
레몬색,#f0f46d
붉은색,#d12a40
연한갈색,#b48460
소라색,#82a9d2
진갈색,#673724
적색,#a12b34
연주황색,#f5a565
자두색,#c43c70
연한초록색,#72d27f
바이올렛색,#8e54ca
어두운 보라색,#603b79
연하늘색,#8ae6ee
연청록색,#5edaba
버건디색,#952839
검붉은색,#832230
코랄색,#dd827f
주홍색,#f35341
짙은파랑색,#2446cd
진하늘색,#409ce9
형광핑크색,#f62fbf
밝은청록색,#30d8c4
황색,#cd9f2e
연한 보라색,#c18de5
연자주색,#bc5bb7
진한초록색,#2b6a35
짙은 남색,#1f215f
회보라색,#836ca0
탁한분홍색,#c8889e
적보라색,#94418c
탁한보라색,#826096
인디핑크색,#d696af
올리브그린색,#73852d
짙은자주색,#892f68
라벤더색,#ae80d2
옅은보라색,#9f78d5
연한연두색,#b0ef91
연청색,#57a5c6
네이비색,#27438a
연핑크색,#e6accb
진회색,#55595a
진한연두색,#56dc60
진연두색,#5dd149
선홍색,#e0496f
회갈색,#8a7a6e
짙은회색,#5b6264
황녹색,#a9bf42
녹두색,#a5ba52
짙은풀색,#42542f
