name,hex
紫色,#9741c6
绿色,#58c454
蓝色,#2e76e3
深蓝色,#1c40b8
深绿色,#32733c
粉色,#ea76b6
草绿色,#76cc4b
棕色,#8d5835
红色,#e42f39
深紫色,#652c81
浅绿色,#90e88e
紫红色,#b63096
土黄色,#d3a935
天蓝色,#3fc3f4
青色,#4ed4c2
黄绿色,#afdc44
黑色,#251d22
浅紫色,#b988de
黄色,#f1df3b
蓝紫色,#674dd3
蓝绿色,#46c9ad
橙色,#f17f2b
粉红色,#ee629f
粉紫色,#da5fcd
墨绿色,#395e3d
灰色,#888d8e
亮绿色,#5cf15e
青绿色,#5bd981
灰绿色,#77a483
褐色,#875637
浅蓝色,#5dc1f5
玫红色,#e82b91
灰蓝色,#5d87ae
淡紫色,#b889da
肉色,#ebb59a
淡绿色,#8ce18f
荧光绿色,#6df765
深红色,#a62435
桃紅色,#ee3689
橘色,#f18224
亮紫色,#c042e7
紫罗兰色,#9d4cd1
咖啡色,#7d4b2c
品红色,#e83da5
深棕色,#5e3d2a
深粉色,#d44197
灰紫色,#95729b
暗紫色,#874887
淡蓝色,#50c3f6
藏青色,#2a5073
湖蓝色,#24a4dc
靛蓝色,#1e51bb
砖红色,#b35035
蓝灰色,#648499
洋红色,#e137b2
橄榄绿色,#708841
翠绿色,#48de5f
暗绿色,#50804b
酒红色,#91243d
青蓝色,#41d0db
靛色,#4143aa
暗红色,#98283a
浅棕色,#bd8f5f
军绿色,#5e7a45
大红色,#e7142d
红棕色,#883c34
宝蓝色,#0055e7
橙红色,#fb5925
水蓝色,#54d7e2
棕黄色,#ae7f33
棕绿色,#666e2b
亮蓝色,#0aaff7
橘红色,#f45821
亮粉色,#ee3ccf
藏蓝色,#264378
土色,#b68e4c
海蓝色,#1d7dda
浅黄色,#eee588
嫩绿色,#81e971
米色,#e1d8b2
棕红色,#803435
紫黑色,#432c54
